Subset Code,Subset Name,NCIt Concept Code,NCIt Preferred Term,NCIt Definition,UBERON Code,UBERON Preferred Term,UBERON Synonyms(s),UBERON Definition
C198975,UBERON Terminology,C12664,Abdomen,"The cavity located between the lungs and pelvis. It contains the lower esophagus, stomach, pancreas, intestines, liver, gallbladder and spleen.",UBERON:0003684,abdomen,abdominopelvic region || abdominopelvis,The subdivision of the vertebrate body between the thorax and pelvis. The ventral part of the abdomen contains the abdominal cavity and visceral organs. The dorsal part includes the abdominal section of the vertebral column.
C198975,UBERON Terminology,C77608,Abdominal Wall,"The tissues that surround the organs that are present within the abdominal cavity. The abdominal wall tissue is composed of layers of fat, parietal peritoneum, fascia, and muscles.",UBERON:0003697,abdominal wall,abdominal wall proper || paries abdominalis || wall of abdomen proper,"The tissues that surround the organs that are present within the abdominal cavity. The abdominal wall tissue is composed of layers of fat, parietal peritoneum, fascia, and muscles."
C198975,UBERON Terminology,C32042,Acetabulum,"Two cup shaped areas, one each on the lateral side of the lower pelvis that house the head of the femur to form the ball and socket joint of the hip.",UBERON:0001269,acetabular part of hip bone,acetabular region || acetabulum,"The acetabulum is a concave surface of the pelvis. The head of the femur meets with the pelvis at the acetabulum, forming the hip joint. There are three bones of the os coxae (hip bone) that come together to form the acetabulum. Contributing a little more than two-fifths of the structure is the ischium, which provides lower and side boundaries to the acetabulum. The ilium forms the upper boundary, providing a little less than two-fifths of the structure of the acetabulum. The rest is formed by the pubis, near the midline. It is bounded by a prominent uneven rim, which is thick and strong above, and serves for the attachment of the acetabular labrum, which reduces its opening, and deepens the surface for formation of the hip joint. At the lower part of the acetabulum is the acetabular notch, which is continuous with a circular depression, the acetabular fossa, at the bottom of the cavity of the acetabulum. The rest of the acetabulum is formed by a curved, crescent-moon shaped surface, the lunate surface, where the joint is made with the head of the femur. Its counterpart in the pectoral girdle is the glenoid fossa."
C198975,UBERON Terminology,C12472,Adipose Tissue,"A specialized form of connective tissue consisting primarily of adipocytes (fat cells), surrounded by a meshwork of collagen fibers.",UBERON:0001013,adipose tissue,fat || fat tissue || fatty tissue,Portion of connective tissue composed of adipocytes enmeshed in areolar tissue.
C198975,UBERON Terminology,C12396,Adrenal Cortex,"The outer region of the adrenal gland consisting of the zona glomerulosa, the zona fasciculata, and the zona reticularis. The adrenal cortex produces and secretes mineralocorticoids, glucocorticoids, and adrenal androgens.",UBERON:0001235,adrenal cortex,,"The thick outer layer of the adrenal gland that produces and secretes steroid hormones such as corticosterone, estrone and aldosterone."
C198975,UBERON Terminology,C12666,Adrenal Gland,"A flattened, roughly triangular body resting upon the upper end of each kidney; it is one of the ductless glands furnishing internal secretions (epinephrine and norepinephrine from the medulla and steroid hormones from the cortex).",UBERON:0002369,adrenal gland,glandula adrenalis || glandula suprarenalis,"Either of a pair of complex endocrine organs near the anterior medial border of the kidney consisting of a mesodermal cortex that produces glucocorticoid, mineralocorticoid, and androgenic hormones and an ectodermal medulla that produces epinephrine and norepinephrine."
C198975,UBERON Terminology,C12397,Adrenal Medulla,"The inner region of the adrenal gland. The adrenal medulla produces, stores, and secretes epinephrine and norepinephrine.",UBERON:0001236,adrenal medulla,,"The inner portion of the adrenal gland that consists mainly of chromaffin cells which produce, store and secrete neurotransmitters such as epinephrine and norepinephrine."
C198975,UBERON Terminology,C34082,Gastrointestinal Tract,"The upper gastrointestinal (GI) tract is comprised of mouth, pharynx, esophagus and stomach while the lower GI tract consists of intestines and anus. The primary function of the GI tract is to ingest, digest, absorb and ultimately excrete food stuff.",UBERON:0001555 || UBERON:0005409,alimentary part of gastrointestinal system || digestive tract,digestive tube || enteric tract,A tube extending from the mouth to the anus. || The part of the digestive system that excludes the hepatobiliary system.
C198975,UBERON Terminology,C89749,Alveolar Ridge,The thickened bony structures in the mandible and maxilla that contain the sockets of the teeth.,UBERON:0004103,alveolar ridge,alveolar body || alveolar bone || alveolar margin || alveolar process || margo alveolaris,
C198975,UBERON Terminology,C13188,Amniotic Fluid,The fluid within the amniotic cavity which surrounds and protects the developing embryo. It is initially produced by the amnion and then later by the lungs and kidneys. The amount at term normally varies from 500 to 2000 ml.,UBERON:0000173,amniotic fluid,,"Amniotic fluid is a bodily fluid consisting of watery liquid surrounding and cushioning a growing fetus within the amnion. It allows the fetus to move freely without the walls of the uterus being too tight against its body. Buoyancy is also provided. The composition of the fluid changes over the course of gestation. Initially, amniotic fluid is similar to maternal plasma, mainly water with electrolytes. As the fetus develops, proteins, carbohydrates, lipids, phospholipids originating from the lungs, fetal cells, and urea are deposited in the fluid."
